Title,Text,Section
‘Some Pakistani players couldn’t digest my WC performance. Sudhar jao': India pacer Mohammed Shami's scathing attack,"India may have faltered in the final against Australia but they have produced some fine performances in World Cup 2023. The majority of the Indian players had a terrific tournament. The biggest proof of that was the inclusion of six Indians in ICC's World Cup 2023 XI. That is more than 50% from one team. Virat Kohli was a standout player with the bat, scoring more runs than any other player in the history of World Cups. He was rightly adjudged the Player of the Tournament for smashing 763 runs in 11 innings. There was another Indian cricketer, who was equally deserving of that award. That is Mohammed Shami. India's Mohammed Shami(PTI)

The fast bowler picked up 24 wickets, returning as the highest wicket-taker of the tournament. His tally was also the most by any Indian bowler in the history of World Cups. And Shami did all that despite not playing the first four matches of the tournament as India preferred to pick Shardul Thakur ahead of him because of the latter's batting abilities.

But as fate would have it, Hardik Pandya got injured during a league match against Bangladesh and was ruled out of the World Cup. India had no option but to switch to plan B.

They brought Suryakumar Yadav into the XI to cover for Pandya's skills and picked Shami in place of Shardul to strengthen the bowling department. Shami had an immediate impact. He picked up five wickets in his first match of this World Cup against New Zealand and never looked back.

That Shami's excellence was not limited to the cricket field alone made his performance in the World Cup even more noteworthy. When the Indian pacers were making the opposition batters dance to their tunes, brushing aside quality teams like England, Sri Lanka, and South Africa as if they were club teams, Hasan Raza, a former Pakistan cricketer came up with an absurd theory. The former batter said ICC might be giving different balls to the Indian pacers and hence they were able to extract so much movement.

Shami was the only Indian cricketer to take note of that. He shared an Instagram story lambasting the conspiracy theory. Now that the World Cup is over, Shami was once again asked about the incident and the India pacer did not hold back. ""I know I can be bitter while speaking the truth but if I don't open my mouth after all this then it won't be right,"" he said in a podcast with PUMA.

Shami launches scathing attack on ex-Pakistan player's conspiracy theory about India's performance in World Cup

""I'm not jealous of anybody. If you start enjoying the success of others then you can become a better player. I was not playing at the beginning (of the World Cup). Jab khel raha that World Cup, toh 5 wickets liye, 4 wickets aur fir se 5 wickets liye. Kuch Pakistan ke players ko ye baat hajam nahi ho rahi toh main kya karu. Kyuki unke dimaag mein ye hai ki ham best hai. Bhai best woh hota hai jo time per perform kare....aap usme controversy banaya chale ja rahe ho, ki tumhe ball kuch aur colour ki mil rahi hai..kisi aur company ki mil rahi hai....Sudhar jao yaar. (When I started playing, I picked up five wickets then got four and then another five-for. Some Pakistani players couldn't digest it. They think they are the best. The one who performs at the right time is the best. You are creating controversy for no reason. You are saying we are getting different balls, from different companies and all that. Learn your lesson),"" Shami added.

Shami also added that the legendary Wasim Akram explained the process of selecting balls in international cricket but despite that, some former cricketers said all this.

""Wasim Akram had explained how the ball is chosen. How the fourth umpire brings a box to the fielding team but despite that you say all this? It is understandable if you have not played the game at all. But when an ex-player says all these things, I don't think people would do anything else apart from laughing,"" he said.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON",Cricket
"Avesh Khan traded to Rajasthan Royals ahead of IPL 2024 auction, Devdutt Padikkal joins Lucknow Super Giants","The Indian Premier League on Wednesday confirmed that Rajasthan Royals' (RR) star opener Devdutt Padikkal has been traded to Lucknow Super Giants (LSG), while Avesh Khan, has, in turn, joined the Royals. Padikkal had represented RR in two seasons -- 2022 and 2023 -- and had started his career with the Royal Challengers Bangalore (2019-2021). Avesh had also begun his IPL career at RCB in 2017 before joining Delhi Capitals, where he spent four seasons between 2018-2021. At the mega auction preceding the 2022 edition, he was signed by LSG. Lucknow Super Giants' Avesh Khan celebrates after picking a wicket in the IPL match against Rajasthan Royals(Lucknow Super Giants Twitter)

Avesh has so far played 47 IPL matches and has 55 wickets to his name. The right-arm pacer, who represented LSG in 22 matches & picked 26 wickets after joining the franchise in 2022, was traded to RR for his existing fee (INR 10 crore). Padikkal, meanwhile, will head to LSG from RR for his existing fee (INR 7.75 crore) as well; the left-handed batter has 57 IPL matches under his belt and has scored 1521 runs, smashing a century and 9 fifties.

He represented the RR in 28 matches, scoring 637 runs.

The confirmation of the trade came shortly after Gautam Gambhir, the mentor for LSG, confirmed his departure from the franchise to reunite with Kolkata Knight Riders (KKR). Gambhir had led the KKR to two IPL titles as captain, and is expected to join the side in a coaching role ahead of the 2024 season.

Padikkal had played in all of RR's matches in the 2022 edition when the side had reached the final of the tournament. However, the Sanju Samson-led team faced a defeat at the hands of tournament's debutants Gujarat Titans in the title clash. Padikkal had scored 376 runs in 17 matches in the edition at a strike rate of 122.88.

Avesh had a strong 2022 season in the tournament as well, picking 18 wickets in 13 matches; his impressive performances ensured him a consistent run in Team India in the shortest format, and Avesh remains a part of the squad for the upcoming T20I series against Australia.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON",Cricket
'Need to perform when it matters...': David Warner delivers fiery '2027' response at Kaif's 'India were the best' remark,"We're now on WhatsApp. Click to join.

“Congratulations to Australia but I am not ready to accept that the best team won the World Cup. This Indian team has been the best side. They would win so many times playing against the same Australian team, even though they lost today. It was one of those bad day, this happens sometimes. ,” Kaif had said following the World Cup final on Star Sports.

Australia had lost their opening two games before kickstarting a winning streak that extended till the final of the World Cup; and the side's opener David Warner has now reacted to Kaif's claims. Warner, taking to his official X account, stated that it “doesn't matter” which team is better on the paper.

“I like MK, issue is it does not matter what’s on paper. At the end of the day you need to perform when it matters. That’s why they call it a final. That’s the day that counts and it can go either way, that’s sports. 2027 here we come,” Warner posted.

This was Warner's second ODI World Cup title, having lifted his first in 2015 under the captaincy of Michael Clarke. A host of Australian team members including Pat Cummins landed back home in the early morning hours of Wednesday. However, the Aussie T20 team will now take on India in a five-match series starting November 23; Matthew Wade will lead the side.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR HT Sports Desk At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more. ...view detail

Click to Top

Story Saved",Cricket
‘This is not 1990s. India would’ve been champions if…': Gautam Gambhir unhappy with Rahul's batting in World Cup final,"We're now on WhatsApp. Click to join.

“It's a double-edged sword. But I have always said this, the most courageous team will go on to win the World Cup. I can understand that you need time to build a partnership but 11 to 40 overs is a very, very long time. Someone should have taken that risk,” Gambhir told Sportskeeda.

‘Either we go for 150 all out or end up with 300’: Gambhir

Gambhir admitted that India could have ended up falling for a lesser score had they remained aggressive but they should've tried to score quicker regardless of that. The former opener, who scored 97 in the final of the 2011 World Cup and was instrumental to India's victory in that match, said that getting 240 should have never been an acceptable scenario.

“I would have actually liked India going really aggressive with their top 6-7 batters even if they had been all out for 150. I would have been fine. But if you feel you can defend 240 in a World Cup final...that is not where you fight. It is either this way or that. Either we go 150 all out or 300. That is where India have lacked. That is where India have not gone on to win ICC tournaments. Rohit should have sent the message before the game that even if I get out we should go aggressive,” he said.

KL Rahul and Virat Kohli put up a fourth-wicket partnership in which they played 109 balls but could score just 67 runs. While Kohli maintained a good strike rate despite the lack of boundaries, it became even more difficult for India to score after he fell on 54 off 63.

Gambhir said that Kohli had been given the role of anchoring the innings and had done it well throughout the tournament. So, other batters should have tried to play aggressively around him. Instead, Rahul ended up scoring just 66 in 107 balls.

“Kohli has played a role of anchoring the innings, but the rest all should have been aggressive. KL should have gone. What harm would it have caused? We would have been 150 all out. But had we been brave, we could scored 310 and India would have been world champions. This is not the 1990s. 240 is not a good score at all. You need 300-plus totals. India were not brave enough,” said Gambhir.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR HT Sports Desk At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more. ...view detail

Click to Top

Story Saved",Cricket
‘Lump in my throat and fire in my heart’: Gautam Gambhir returns to KKR before IPL 2024,"We're now on WhatsApp. Click to join.

Speaking on his return, Gambhir said he would have a lump in his throat and fire in his heart while wearing the purple and gold jersey again. “I am not an emotional person and not many things move me. But this is different. This is back to where it all started. Today, there is a lump in my throat and fire in my heart as I think about slipping into that purple and gold jersey once again. I am not only coming back to KKR but I am coming back to the city of joy. I am back. I am hungry. I am number 23. Ami KKR,"" he said.

Welcoming Gambhir back to KKR, co-owner Shah Rukh Khan said - ""Gautam has always been part of the family and this is our Captain coming back home in a different avatar as a ""Mentor"". He was sorely missed and now we all look forward to Chandu Sir and Gautam in instilling the never-say-die spirit and of sportsmanship they stand for, in creating magic with Team KKR.""

Gambhir represented KKR 122 times - the joint second-most along with Yusuf Pathan. He is also the only KKR batter to have scored more than 3000 runs for the franchises. Gambhir amassed 3345 runs at an average of 31 and a strike rate of 124. He was instrumental in building the core of the Kolkata-based franchise. It was under his leadership that KKR roped in Sunil Narine and Andre Russell - two relatively unknown West Indies cricketers at that time who would go on to become the franchise's two most successful overseas recruits.

Narine and Russell continue to be a part of the KKR set-up. The two-time champions, however, did not have the best of seasons last year. They finished seventh in the points table with six wins in eight matches but this year, they will have the get the services of Shreyas Iyer back. Their regular captain was ruled out of the entire last season due to a back injury.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR HT Sports Desk At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more. ...view detail

Click to Top

Story Saved",Cricket
"Sachin's daughter Sara Tendulkar hits back after her deepfake photos, fake accounts run riot","We're now on WhatsApp. Click to join.

""A few accounts on X (formerly Twitter) have obviously been created with an intent to impersonate me and mislead people. I do not have an account on X, and I hope X looks into such accounts and suspends them,"" she added while urging X to take action.

""Entertainment should never come at the expense of the truth. Let's encourage communication that’s based on trust and reality,"" she further added.

Sara Tendulkar responded to her deepfake accounts through Instagram.

She is also rumoured to be dating India opener Shubman Gill, which was also hinted at during a recent episode of Koffee With Karan season 8. During the episode, Saif Ali Khan's daughter Sara Ali Khan was asked about her rumoured boyfriends from host Karan Johar. The actress denied dating Shubman and hinted that he was in a relationship with Sachin's daughter.

She is also rumoured to be dating India opener Shubman Gill, which was also hinted at during a recent episode of Koffee With Karan season 8. During the episode, Saif Ali Khan's daughter Sara Ali Khan was asked about her rumoured boyfriends from host Karan Johar. The actress denied dating Shubman and hinted that he was in a relationship with Sachin's daughter.

When she was asked about alleged rumours of her dating Shubman, the Bollywood actress said, ""You have got the wrong Sara guys. Sara ka sara duniya galat Sara ke piche pada hai (The whole world is after the wrong Sara).""

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR HT Sports Desk At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more. ...view detail

Click to Top

Story Saved",Cricket
"Don't cling on to this World Cup loss your entire life: Kapil Dev breaks 'setback' shackles, lifts Team India's spirits","It's been a rough 60 hours since India's defeat in the World Cup 2023 final but the outpour of emotions, messages and wishes for Team India continues. People are disappointed but despite the heartbreak, they are making sure they get behind the 15 players who gave it their everything over the last 45 odd days. India may not have won the World Cup, leading to a nationwide-meltdown but the brand of cricket they played – winning 10 matches in a row without being challenged much – will be the Men in Blue's everlasting image from this just-concluded World Cup. Kapil Dev has wants Team India to move on following their loss to Australia in the World Cup final.(PTI )

While the players continue to be in pain, the legendary Kapil Dev has echoed the entire nation's sentiments and urged Team India to overcome the heartbreak. The post-match visuals of Rohit Sharma and Mohammed Shami in tears and the shattered looks on the faces of Virat Kohli, KL Rahul and everyone else was a tough pill to swallow but Kapil, India's first World Cup winning, believes sportsmen should not allow one defeat – irrespective of the magnitude – to weigh them down.

""Sportsmen have to move on. You can't cling on to one setback your entire life. Fans can do this, but not sportsmen. You have to plan for the next day. We can't undo what has happened but just keep working hard. That's what sportspersons are all about,"" Kapil, the former India all-rounder and captain, told reporters on the sidelines of an event to inaugurate the Centre for Advanced Sports Rehabilitation at BLK-Max Super-Specialty hospital.

Also Read - 'This is not 1990s. India would've been champions if…': Gautam Gambhir unhappy with Rahul's batting in World Cup final

Kapil had no shortage of words to acknowledged and appreciate the quality of cricket India played throughout the tournament. They finished the league stage unbeaten and as the top-ranked team having run opponents roughshod. Just the margin of victories – 100 runs against England, bowling South Africa out for 83 – easily made them the best team in the tournament by quite some distance. Yes, that India couldn't get over the line will pinch but there's looking back at such a marauding campaign, their hearts would fill with nothing but pride.

""I don't have to say anything. You have seen everything already. When you lose, people say all kind of things, but when they win, everything becomes quiet. That's why let us appreciate the fact that they played wonderful cricket. Yes, we couldn't cross the final hurdle but the perfect sportsman learns from this experience,"" added Kapil.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON",Cricket
"‘If nothing happened, Shami could’ve…': Wasim Akram finds flaw in Rohit's 'out of the box thinking' in World Cup final","A fast-scoring World Cup had an anticlimactic finish as Travis Head-inspired Australia crushed a free-scoring India in a low-scoring final. With India suffering another World Cup heartbreak, legendary Pakistan fast bowler Wasim Akram questioned Rohit Sharma's 'out of the box thinking' after the summit clash of the 50-over spectacle. Ending India's unbeaten run at the One Day International (ODI) World Cup 2023, Pat Cummins' Australia silenced the partisan crowd at the Narendra Modi Stadium with a six-wicket win over the Men In Blue. Wasim Akram opined that Rohit Sharma's Team India panicked in the World Cup 2023 final(Getty Images-PTI)

After smashing a gigantic total in the World Cup semi-final against New Zealand, Rohit's Team India only mustered 240 in the final. Defending the below-par total against the record-time winners, skipper Rohit opted to unleash Mohammed Shami in the second over instead of strike bowler Mohammed Siraj. Though an in-form Shami took the new ball and bagged the all-important wicket of David Warner, the speedster failed to inspire India to a historic win over the Aussies.

ALSO READ: 'Will Rohit Sharma be playing or…': Sreesanth picks Team India's squad for next ICC World Cup

'Siraj should have bowled 2-3 overs'

Speaking to Sportskeeda about India's approach to attacking the Australian bowlers, Akram opined that Rohit and Co. 'panicked' during the final. “They panicked a bit. I understand that he [Shami] has dismissed many left-handers and has bowled brilliantly from round the wicket. Travis Head survived against him. You must have noted that Shami bowled a couple of wide balls. I feel Siraj should have bowled 2-3 overs at the start just because of his swing,” Akram said.

'Out of the box thinking' from Rohit

“Psychologically, Shami knew that he comes first change, so the ball is controllable as it is a little old. Giving him the new ball in the World Cup final, out of the box thinking, I am all for it. But, Siraj should have bowled 2-3 overs at the start. If nothing had happened, Shami could have been brought on,” Akram added.

Shami bowled seven overs and leaked 47 runs while Siraj recorded identical figures (1 for 45) with the ball as both pacers shared only two wickets in the final. Riding on Head's 137-run off 120 balls, Australia chased down the 240-run target in 43 overs. Head's brilliant century and Marnus Labuschagne's patient knock of 58 propelled Australia to its sixth World Cup crown in Ahmedabad.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON",Cricket
'Was Rohit being too greedy? Could he not have curbed himself?': Gavaskar on India captain's wicket in World Cup final,"If there was one turning point in the World Cup 2023 final that put paid to India's chances, it was Rohit Sharma's dismissal. Before his wicket, India were cruising, scoring at almost nine runs an over and had blazed away, as usual, to 76/2 in 9.4 overs. But the moment Rohit was out to that brilliant piece of catching from Travis Head, it was as if the wheels just fell off. From smashing eight fours and three sixes in the first 10 overs, to just four across the next 40, India simply never recovered, and eventually paid the price. Rohit Sharma leaves the field after losing his wicket(AP)

Former India captain Sunil Gavaskar has made an interesting point about Rohit's dismissal. The India captain, facing the second over from Glenn Maxwell had already launched him for a six and a four off the previous two balls, making it a 10-run over with three balls to go, and Gavaskar feels he could have done without taking any further risks. The wicket spelled doom and India ended up with just 240, a target which Australia gunned down with Head adding to the home team's woes by blasting a cracking century as the Aussies cantered home by six wickets and 7 overs left.

Also Read: Australia's Head calls India captain Rohit Sharma 'unluckiest man in the world' after snatching his glory in final

""Travis Head's superlative turning and running back catch dashed India’s hopes of getting a 300-plus score. That catch dismissed Rohit Sharma, who once again stormed his way to another quickfire 40-plus. That wicket fell in the final over of the first Powerplay where there are only two fielders allowed outside the 30-metre circle. He had already hit a six and a four in the over and was obviously trying to capitalise on the few deliveries left before the Powerplay finished. Was he being too greedy? Could he not have curbed himself since Shubman Gill had already been dismissed?"", Gavaskar wrote in his column for Sportstar.

Also Read: Gavaskar pinpoints India's match-changing moment of World Cup final against Australia

But that's how Rohit has played the entire tournament. The knock of 47 off 31 balls was his fifth dismissal in the 40s, which indicates his role throughout the World Cup has been of an aggressor, an enforcer. That the rest of the Indian batter slowed down is on them, even as Virat Kohli and KL Rahul did their best with half-centuries before eventually shutting shop. Australia read the conditions brilliantly, using the slowness of the surface and squeezing 10 overs between Head, Maxwell and Mitchell Marsh. Had it not been for Rohit’s dismissal, who knows… maybe India could have out on a bit more. Another 30 runs, and it could well have made the difference in India's confidence and the outcome as a whole.

""The fifth bowler's quota for Australia was always a bit of a lottery, and this time, it worked as it not only got the crucial wicket of the Indian captain but also made the other India batters play the non-regular bowlers even more carefully, and thereby lose out on perhaps 30 runs at least. Whether those runs would have made the difference is debatable,"" Gavaskar pointed out.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON",Cricket
‘All stats said bat first…’: Warner reveals why Australia opted to bowl after winning toss in World final vs India,"We're now on WhatsApp. Click to join.

“They were discussing it the night before for a good hour and a half or two hours about what to do.” Warner told South Africa great AB de Villiers on the latter's Youtube channel. “All the stats coming through was saying, bat first and put runs on the board. But for once, when we got all got asked that question, I think a majority of us said let's just chase.”

Warner said that the team decided it is better to understand the conditions thoroughly before walking out to bat and the situation would be helped if they did well with the ball. “If we bowl well and understand the conditions like that, we can then chase and then anchor,” he said.

India were all out for 240, with Australia starving them out after they shot off 80 runs in the first 10 overs. While Jasprit Bumrah and Mohammed Shami then got the hosts off to a promising start in their defence, Travis Head and Marnus Labuschagne shut the door with 192-run stand. Head scored 137 in 120 balls while Labuschagne was unbeaten on 58 off 110 and Australia took the match by six wickets. Warner said that Labuschagne's innings was exactly the kind of thing they hoped they would be able to do if their plan of bowling first paid off.

“What Marnus did was absolutely perfect. You look at when we played India in the first game. I think they were 3/4 (2/3) but then Virat did what he does, KL Rahul as well. They were ice calm. When you know what to get, your best batters generally thrive. They will play the tempo of the game,” said Warner, referring to the first match of the tournament between Australia and India. At the time, India had blown Australia away for 199 but were themselves reduced to two runs for the loss of three wickets. However, Virat Kohli and KL Rahul then put up a 165-run stand that ended any chances that the Australians had.

“That was Pat Cummins' best spell of the tournament”

Warner was all praise for Cummins for the way he led the team in the tournament and the way he seeded doubts in the minds of the Indian batters with his tactics in the final. “He has been so calm the whole time. He was criticised in England for his fielding placements, being defensive and all that. Here as well, he cops it again for the slow start. It's not fair. I get that as a captain he is leading the ship but as a whole unit, we take responsibility ourselves. Yesterday was a testament to that in terms of the way we went about it,” he said.

Warner also said that Cummins's spell itself was the best he had seen from him in the entire tournament. Cummins recorded figures of 2/34, getting the key wickets of Shreyas Iyer and Kohli. “Yesterday was unbelievable the way he bowled. That was his best spell in the entire tournament. The great players stand up when it's time to deliver and yesterday he did that,” said Warner.

Catch all the Latest cricket news, and Live score related updates on Hindustan Times Website and APPs

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR HT Sports Desk At HT Sports Desk, passionate reporters work round the clock to provide detailed updates from the world of sports. Expect nuanced match reports, previews,reviews, technical analysis based on statistics, the latest social media trends, expert opinions on cricket, football, tennis, badminton, hockey,motorsports, wrestling, boxing, shooting, athletics and much more. ...view detail

Click to Top

Story Saved",Cricket
