Title,Text,Section
"SBI PO Prelims Result 2023 Live: Prelims result out, website loading slow","SBI PO Prelims Result 2023 Live: State Bank of India has announced SBI PO Prelims Result 2023. Candidates who have appeared for the preliminary examination can check the results through the official website of SBI at sbi.co.in. SBI PO Prelims result 2023 live updates: Direct link to check scorecards on sbi.co.in

The commission also informed that the Main examination of SBI PO recruitment 2023 will be held on December 5 and call letters or admit cards will be issued shortly.

SBI PO Prelims result 2023 link

The online preliminary examination was conducted in November 2023. Those candidates who will qualify the prelims exam will be eligible to appear for the main examination. This recruitment drive will fill up 2000 posts in the organization. Follow the blog for latest updates on results, scorecard and other details.",Education
"Board Exam 2024 Date Live: CBSE, Bihar, UP, other boards 10th, 12th timetable updates","Board Exam Dates 2024 Live Updates: The Central Board of Secondary Education (CBSE), the Bihar School Examination Board (BSEB) and the Uttar Pradesh Madhyamik Shiksha Parishad (UPMSP) are expected to conduct their Class 10 (Matric/High School/Secondary) and Class 12 (Intermediate/Senior Secondary) final exams 2024 in February. CBSE board exam 2024 for Class 10 and Class 12 are likely to begin on February 15 and end on April 10. BSEB has been conducting their Matric and Inter exams in February for the last few years. Latest updates on Board exam timetable

UPMSP in its academic calendar mentioned that Class 12 Theory exams will take place in February. Practical exam dates have been announced by the UP board and CBSE.

CBSE Class 10, 12 time tables or date sheets will be released on cbse.gov.in and cbse.nic.in. UPMSP theory date sheets will be out on upmsp.edu.in and BSEB will announce Bihar board exam dates on biharboardonline.bihar.gov.in and on social media.

Some state boards such as Jharkhand, Maharashtra and Tamil Nadu have already released detailed date sheets for the upcoming board exams.",Education
"NEET UG 2024 updated syllabus out at nta.ac.in, check here","We're now on WhatsApp. Click to join.

“The stakeholders can refer to the updated syllabus for NEET UG 2024 for the preparation of the study material and for preparation of the NEET UG examination for the academic session 2024-25”, read the notice.

NTA will conduct the National Eligibility cum Entrance Test [NEET (UG)] – 2024 on May 5, 2024, across the country at various exam centers. The results will be announced by the second week of June 2024. Also read: NBEMS Exam Calendar 2024: NEET PG, NEET MDS, FMGE & other exam dates out at natboard.edu.in

The eligibility criteria to appear for NEET is that the candidate who has passed the Class 12 board exam or is appearing in the qualifying examination, whose results are awaited, can apply for the test. Such candidates completed 17 years of age at the time of admission or will complete that age on or before 31 December of the year of his/her admission to the first year of the Undergraduate Medical Course can appear for the medical entrance examination. For more related details candidates can check the official website of NMC.

Get latest news onEducation along with updates on Board Exams and Competitive Exams at Hindustan Times. Also get latest Job updates on Employment News.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
"CTET January 2024: Registration ends tomorrow, apply at ctet.nic.in","We're now on WhatsApp. Click to join.

CTET January 2024: How to apply

Visit the official website of CBSE CTET at ctet.nic.in.

Click on CTET January 2024 link available on the home page.

Register yourself and login to the account.

Once done, fill out the application form and make the payment of application fees.

Click on submit and download the confirmation page.

Keep a hard copy of the same for further need.

The application fees is ₹1000/- for General/ OBC category candidates who wants to apply for one paper and ₹1200/- for both papers. The application fees for SC/ST/PwBD candidates are ₹500/- for one paper and ₹600/- for two papers. Payment by Debit Card/Credit Card/Net Banking will be accepted. GST as applicable will be charged extra by the Bank.

The Central Board of Secondary Education will conduct the 18th edition of the Central Teacher Eligibility Test (CTET) on January 21, 2024. The test will be conducted in twenty languages in135 cities nationwide. The examination will be conducted in two shifts- Paper II from 9.30 am to 12 noon and Paper I from 2 pm to 4.30 pm.

Paper I will be for a person who intends to be a teacher for classes I to V and Paper II will be for a person who intends to be a teacher for classes VI to VIII. For more related details candidates can check the official website of CBSE CTET.

Get latest news onEducation along with updates on Board Exams and Competitive Exams at Hindustan Times. Also get latest Job updates on Employment News.

SHARE THIS ARTICLE ON

Get alert on your mobile and email as soon as the result is declared. For this, please provide information.

Get Latest Exam Updates +91 Class 10th 12th Science 12th Arts 12th Commerce 12th Vocational State Andaman and Nicobar Islands Andhra Pradesh Arunachal Pradesh Assam Bihar Chandigarh Chhattisgarh Dadra and Nagar Haveli Daman and Diu Delhi Goa Gujarat Haryana Himachal Pradesh Jammu and Kashmir Jharkhand Karnataka Kerala Ladakh Lakshadweep Madhya Pradesh Maharashtra Manipur Meghalaya Mizoram Nagaland Odisha Punjab Puducherry Rajasthan Sikkim Tamil Nadu Telangana Tripura Uttar Pradesh Uttarakhand West Bengal I accept the Terms & Conditions of this website and consent. Submit

X OTP Verification We have sent OTP to . Resend OTP 00:00 Verify Your details are submitted successfully.

Product Terms and Conditions X These Terms and Conditions (“T&C”), as amended from time to time are the complete and exclusive statements of understanding between HT Media Limited (“HTML”) & the Users and shall enroll for availing the Services on (hereinafter referred to as the “BOARD RESULTS” https://www.livehindustan.com/career/results/ or https://www.hindustantimes.com/education/board-exams and “EDUCATION SERVICES” “https://www.livehindustan.com/career” or “https://www.hindustantimes.com/education”) . All representation or other communications between HTML & the User amounts to acceptance of these terms & conditions.

. All representation or other communications between HTML & the User amounts to acceptance of these terms & conditions. Board Result (https://www.livehindustan.com/career/results/) or https://www.hindustantimes.com/education/board-exams is a website created by HTML for giving the students an easy access of their board results from various Boards being Madhya Pradesh, Rajasthan, Uttar Pradesh, Bihar, Jharkhand, Chhattisgarh, Himachal Pradesh, Assam, West Bengal, Punjab, Haryana, Maharashtra, Gujarat and Uttarakhand. The results are inherited officially from the respective boards and being displayed on this website on an As Is basis and under no circumstances HTML be held responsible for any inaccuracy as regard these results.

EDUCATION SERVICES” “https://www.livehindustan.com/career/” or https://www.hindustantimes.com/education is a website created by HTML for giving the students easy access to entrance exams and college related information. The information is gathered from various websites. Under no circumstances HTML be held responsible for any inaccuracy as regard to this information.

Students of Class 10th and 12th can have quick and easy access to their results and other college and entrance exam related information using this website.

Students can get access through their phone, tablet, laptop or any other online service provider. These results can be accessed only in the territory of India.

Individual Registration: User shall create an account either for himself/herself or for the prospective student.

Any attempt by the user to use the results in any inappropriate cause is a violation of Criminal and Civil Laws and should such an attempt be made, HTML reserves its right to seek damages from any such User to the fullest extent as permitted by law.

HTML and/or its subsidiaries, affiliates, holding company or group companies, their offices, directors, employees and representatives shall not be liable to any person or entity for any direct, indirect, incidental, special, punitive or consequential damages, including loss of profits, incurred by a User or any third party, whether in connection with the usage of board results https://www.livehindustan.com/career/results/ or https://www.hindustantimes.com/education/board-exams and education services (“https://www.livehindustan.com/career/” or “https://www.hindustantimes.com/education”), or for breach of any warranty in contract or in tort.

User agrees to indemnify HTML, its agents, employees, representatives, associates, affiliates, parent and subsidiary companies against any and all claim, losses, costs, damages, liability and expenses arising out of the User’s breach of any of the T&C or arising out of or in connection with their use of BOARD RESULTS https://www.livehindustan.com/career/results/ or https://www.hindustantimes.com/education/board-exams and and EDUCATION SERVICES (“https://www.livehindustan.com/career/” or “https://www.hindustantimes.com/education”)

HTML is not liable for the incorrect or inaccurate capture of any User's information. This includes, but is not limited to, technical malfunctions, human or technical error, seeding or printing errors, lost, delayed, or garbled data or transmissions, omissions, interruptions, deletions, defects, or failures of any telephone or computer line or network, computer equipment, software, or any combination thereof.

These terms and conditions will be governed by Indian law. In the event of a dispute arising under these Terms and Conditions, the courts of Delhi will have exclusive jurisdiction.

Any provision of the T&C that is illegal or unenforceable in a particular jurisdiction is ineffective in that jurisdiction to the extent such restriction or unenforceability exists. This has no bearing on the validity or enforceability of that provision in other jurisdictions, nor does it invalidate the T&C's other sections.

HTML shall not be responsible for any loss or damage suffered by the User while enrolling for the access of the board results.

Failure by HTML to enforce any of these Terms and Conditions in any instance(s) shall not give rise to any claim by any person.

The students can access the board results at free of any cost.

User Communication: The user expressly agrees to receive marketing communications from HTML or its representatives via email, phone, Whatsapp, or text message in order to receive notifications and information about our services including for other products of HTML and its subsidiaries, affiliates, holding company or group companies.

Information Collected by HTML: When you visit our site, we collect minimal information about your computer's Internet connection, including your IP address. You are not identified by your IP address. We may also collect and store information provided by your computer or mobile device in connection with your use of our website/apps, such as your browser type, computer or mobile device model, browser language, IP address, mobile carrier, unique device identifier, location, and requested and referring URLs. Even if you haven't registered an account, we acquire information when you view content on or otherwise interact with our website/app/services. We use this information to serve our web pages to you when you request them, to adapt our site to our users' interests, and to track website traffic. Our advertisers/third-party firms may use this information to customize content, advertisements, and other services.

Cookie policy, pixels and tracking: Cookies are little text files that are transferred to your computer or mobile device when you visit a website and include a small amount of information. When you return to the website or visit a partner website that recognises that cookie, your device will be able to connect with our website, and the website will be able to read the information stored in that cookie. We use cookies to make it easier for you to navigate our websites and to save you time by preventing you from having to re-enter your information or preferences each time you visit. We may provide you with information and show you stuff that is relevant to you thanks to cookies. We also use cookies to analyse how visitors interact with our websites so that we can improve their experience. In your browser options, you can accept or reject cookies. Most web browsers accept cookies by default; however, you can typically change this setting to refuse cookies if you want. More information about managing cookies can be found in your browser's help section: Chrome, Internet Explorer, Mozilla Firefox, and Safari.

Third-Party: By agreeing to the terms and conditions, user hereby acknowledges and agrees that the information shared while accessing the Board Results will be shared to the third-party for reaching out with many other relatable contents and for a specific time period only. Third-party advertising materials will be displayed. Third parties may collect or receive certain information about you and/or your use of the Services (e.g., hashed data, click stream information, browser type, time and date, information about your interactions with advertisements and other content) when you use our Services, including through the use of cookies, beacons, mobile ad identifiers, and similar technologies, in order to provide content, advertising, or functionality, or to measure and analyse ad performance. This data may be coupled with data collected from other websites, online services, and other connected or associated devices. These third parties may use your information in accordance with their own privacy rules to better their own services. Advertisers are solely responsible for the content of any advertising material they send to us, including ensuring that it complies with all applicable laws. We take no responsibility for the content of advertising materials, including any errors, omissions, or inaccuracies included therein.

HTML reserves the right, in its sole and absolute discretion, to amend or vary any of these Terms & Conditions at any time without prior notice or intimation.

By availing the Service provided by HTML, User hereby acknowledges and agrees to abide by the Terms of Use, Privacy Policy, Cookie Policy, and other policies as may be amended from time to time.

Click to Top

Story Saved",Education
UCO Bank Recruitment 2023: Apply for Consultant and Chief Risk Officer posts at ucobank.com,"We're now on WhatsApp. Click to join.

Vacancy Details

Chief Risk Officer: 1 post

Consultant: 1 post

Eligibility Criteria

Chief Risk Officer: Graduation degree with Professional certification in Financial Risk Management from Global Association of Risk Professionals or Professional Risk Management Certification from PRMIA Institute.

Consultant: Post Graduate in IT/ Computer Science /Statistics / Information System. Also read: IDBI Bank Recruitment 2023: Apply for 2100 Junior Assistant Manager & Executive posts at idbibank.in

Age Limit

Chief Risk Officer: The age limit should be between 40 years to 57 years of age.

Consultant: The age limit should be below 62 years.

Selection Process

The selection process comprises of preliminary screening and shortlisting on the basis of qualifications, suitability and experience. The shortlisted candidates will be called for interview for final selection.

Application Fees

The application fees is ₹1000+180(GST) =1180/-. Candidates shall pay the fees/ through Internet Banking /NEFT/RTGS (Non-Refundable) to the account number mentioned in the notification. More government jobs here

Where to send applications

The filled-up application form along with other documents should be sent to General Manager, UCO Bank, Head Office, 4th Floor, H. R. M Department, 10, BTM Sarani, Kolkata, West Bengal – 700 001 before the last date of applications. For more related details candidates can check the official website of UCO Bank.

Get latest news onEducation along with updates on Board Exams and Competitive Exams at Hindustan Times. Also get latest Job updates on Employment News.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
IDBI Bank Recruitment 2023: Apply for 2100 Junior Assistant Manager & Executive posts at idbibank.in,"We're now on WhatsApp. Click to join.

Important dates

Opening date of application: November 22, 2023

Closing date of application: December 6, 2023

Online Test for Junior Assistant Manager: December 31, 2023

Online Test for Executive: December 30, 2023

Vacancy Details

Junior Assistant Manager (JAM), Grade ‘O’: 800 posts

Executives - Sales and Operations (ESO): 1300 posts

Eligibility Criteria

Junior Assistant Manager (JAM), Grade ‘O’: Bachelor’s degree with minimum 60% for General and OBC candidates (55% for SC/ST/PwBD candidates) in any discipline from a University recognized/ approved by the Government / Govt. Bodies viz., AICTE, UGC, etc.

Executives - Sales and Operations (ESO): A Graduate from a recognized university in any discipline from a University recognized/ approved by the Government / Govt. Bodies viz., AICTE, UGC, etc.

The age limit of the candidate should be between 20 to 25 years of age.

Selection Process

Junior Assistant Manager (JAM), Grade ‘O’ - The selection process shall comprise of Online Test(OT), Document Verification (DV), Personal Interview (PI) and Pre Recruitment Medical Test (PRMT).

Executive –Sales and Operations (ESO): The selection process shall comprise of Online Test(OT), Document Verification (DV)and Pre Recruitment Medical Test (PRMT).

Application Fees

The application fees is ₹200/- for SC/ST/PwBD candidates and ₹1000/- for all other candidates. The payment can be made by using Debit Cards (RuPay/Visa/MasterCard/Maestro), Credit Cards, Internet Banking, IMPS, Cash Cards/ Mobile Wallets by providing information as asked on the screen. For more related details candidates can check the official website of IDBI Bank.

Get latest news onEducation along with updates on Board Exams and Competitive Exams at Hindustan Times. Also get latest Job updates on Employment News.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
More than 50 percent of primary schools across many states have enrolment less than 60: NITI Aayog report,"We're now on WhatsApp. Click to join.

“The Project enables a system-wide governance transformation in school education. The objective is to ensure that quality is not diluted even when we operate on a larger scale,” the report quoted B V R Subrahmanyam, CEO, NITI Aayog.

Also Read:

The report analyses the implementation of Project SATH-E in Jharkhand, Madhya Pradesh and Odisha under 9 intervention categories namely school consolidation, remedial learning interventions, assessments, teacher recruitment and rationalisation, teacher capacity building, management information systems and academic monitoring systems, governance and accountability, organisation strengthening and leader schools.

The NITI Aayog report pointed out 6 issues that need to be addressed in order to implement a large-scale transformation in providing quality education. That includes:

Addressing the issue of sub-scale, inadequately resourced schools head-on with strong political support

Solving large-scale teacher vacancies issues

Improving teacher quality and pedagogy

Enforcing accountability towards learning outcomes

Focus on Early Childhood Education (ECE) and contextualised Mother tongue-based Multilingual Education (MLE)

Strengthening the governance structures in education departments

According to the report, India has 5 times the number of schools than China does for the same enrolment of students. It was also mentioned that more than 50% of primary schools across many states in our country have an enrolment of less than 60 students. NITI Aayog puts forward the idea of merging schools as a plan to mitigate the cost of such sub-scale schools.

School merging was executed in the project and the report presented favourable results from the action plan. The report states that third-party studies in SATH-E have also demonstrated that when executed rigorously the benefits of mergers are largely positive and can lead to improved learning outcomes.

Drawing an example from the project being implemented in Madhya Pradesh, the report stated that 35,000 schools were merged into 16,000 same-campus schools with an aim to improve the quality of education. The merged large schools had adequate teachers and resources and 55 percent of the schools now had a principal when compared to 20 percent before the merger. Similarly, in Jharkhand 4380 schools and in Odisha 2000 small-scale and same-campus schools were merged.

In order to address the issue of the unequal distribution and shortage of teachers in the education sector, the report suggested the need to take up teacher rationalisation and structured policies to be implemented. Aligning with the National Education Policy 2020, NITI Aayog also emphasised the need to priortise Early Childhood Education (ECE) to improve the school readiness of the students.

States have been asked to reconsider the decentralisation of powers to principals, district and block officers by the policy think tank. This step according to the report will give them more financial power and autonomy to take decisions in line with local needs.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
Study Abroad: How to prepare for GMAT,"We're now on WhatsApp. Click to join.

In an exclusive interview, Sandeep Gupta, Founder of Top One Percent, a global EdTech company that provides effective learning solutions to GMAT & GRE aspirants, talks about the basics of GMAT preparation and how to achieve a 99th percentile score.

How to start the GMAT journey? Is downloading GMATPrep practice tests released by makers of the GMAT the first step?

The ideal way to start your GMAT journey is by starting as soon as possible. Even if you're still in college, taking the GMAT can open a plethora of opportunities for you, from job placements to deferred MBA programs. Many test-takers often begin by downloading the GMATPrep practice tests released by the GMAC, the makers of the GMAT.

While these materials provide a basic understanding of the test format, they may not be sufficient for those aiming for scores above 750. In fact, relying solely on these resources can give students a false sense of security. Instead, consider investing in a professional test preparation service.

Are practice tests the best indicator of how far/near one is from the target?

Practice tests are undoubtedly a valuable tool in your GMAT preparation arsenal, but they shouldn't be viewed as the “best” indicator of your likely score on the actual examination.

It is important to note that test-takers frequently report that the scores from official mock tests are somewhat inflated compared to what one might achieve on the actual GMAT. While this can be encouraging, it can also lull test-takers into a false sense of confidence.

One should use practice tests as a means to evaluate and improve their skill set but remember that continuous refinement and focused preparation are key to achieving the target GMAT score.

Should one first find out what GMAT score one actually needs for the university/course of choice? One needs at least 700 for Top 10 schools, 680 for Top 20, and 650 for Top 50 to pass. Is that a good route for a novice to start?

As a rule of thumb, strive to score 30 to 40 points above the median score of your target school. Doing so not only strengthens your chances of gaining admission but can also significantly improve your eligibility for scholarships. Considering the high tuition fees associated with MBA programs, securing a scholarship can provide substantial financial relief.

Also Read: All you need to know about Germany’s WISE, an exclusive programme for Indian students

How should one design the study plan - build a toolkit?

I believe those who attempt to create their own study plans without expert guidance often find themselves lost and directionless. That's why my first piece of advice is to consult with a professional test preparation agency.

However, expert guidance alone won't suffice; self-awareness is equally crucial. You need to know your strengths and weaknesses to target your study efforts effectively. One invaluable tool in this regard is maintaining an error log.

Document every question you get wrong, along with the reason for the mistake. Revisit this error log at least once a week to review your weak areas and revise your strategies.

Online versus offline study plan? Which one is better?

Choosing between online and offline GMAT study plans depends on individual needs. Online plans offer flexibility and a wealth of resources, often adapting to your performance. Offline plans provide structured learning and immediate feedback from instructors. Many find a hybrid approach most effective, leveraging online resources for flexibility and offline methods for structured learning.

How early should one start? On average, it is said, 3 months (10-15 hours a week) is good enough. Is it?

Although a study period of three months, averaging around three hours per day, is commonly recommended for achieving a competitive score, in my opinion, the earlier you start your GMAT journey, the better. Initiating the process while still in college can open myriad opportunities.

What are the typical GMAT prep mistakes and pitfalls?

One of the most frequent issues is inconsistency in preparation. Irregular study patterns can seriously hinder progress. Another pitfall is relying on easier prep materials, which can provide a false sense of confidence.

Not timing oneself during practice and neglecting certain sections, such as Reading Comprehension, can also be detrimental. Some test-takers overestimate their Quantitative skills and neglect focused practice, which can result in a disappointing performance and lower the overall score.

Also Read: Vocabulary Made Easy series: Guide to glide through strengthening your word power

How does one achieve the 99th percentile? Is it as elusive as numbers convey?

About 0.02% of GMAT test-takers, or about 30 people a year, will score a perfect 800 on the test. Achieving a 99th percentile score on the GMAT is challenging but not insurmountable.

In my 27 years of teaching, many of my students have successfully reached this milestone. The recipe for a top score includes studying high-quality material, benefiting from expert guidance, maintaining consistency, keeping an error log, and practicing under timed conditions.

Is there a time-tested mantra to get a good GMAT score?

If there's a time-tested mantra for achieving a strong GMAT score, it's not to neglect the Quantitative and Reading Comprehension sections. Often, people with engineering backgrounds assume they'll naturally excel in Quantitative, only to find themselves falling short.

Also Read: Logical Reasoning series: Tips to crack and ace exams

Similarly, Reading Comprehension is frequently overlooked, despite being a cornerstone for a great GMAT score. A poor performance in this section can easily lower your overall score by 80-90 points.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
More than 50 percent of primary schools across many states have enrolment less than 60: NITI Aayog report,"We're now on WhatsApp. Click to join.

“The Project enables a system-wide governance transformation in school education. The objective is to ensure that quality is not diluted even when we operate on a larger scale,” the report quoted B V R Subrahmanyam, CEO, NITI Aayog.

Also Read:

The report analyses the implementation of Project SATH-E in Jharkhand, Madhya Pradesh and Odisha under 9 intervention categories namely school consolidation, remedial learning interventions, assessments, teacher recruitment and rationalisation, teacher capacity building, management information systems and academic monitoring systems, governance and accountability, organisation strengthening and leader schools.

The NITI Aayog report pointed out 6 issues that need to be addressed in order to implement a large-scale transformation in providing quality education. That includes:

Addressing the issue of sub-scale, inadequately resourced schools head-on with strong political support

Solving large-scale teacher vacancies issues

Improving teacher quality and pedagogy

Enforcing accountability towards learning outcomes

Focus on Early Childhood Education (ECE) and contextualised Mother tongue-based Multilingual Education (MLE)

Strengthening the governance structures in education departments

According to the report, India has 5 times the number of schools than China does for the same enrolment of students. It was also mentioned that more than 50% of primary schools across many states in our country have an enrolment of less than 60 students. NITI Aayog puts forward the idea of merging schools as a plan to mitigate the cost of such sub-scale schools.

School merging was executed in the project and the report presented favourable results from the action plan. The report states that third-party studies in SATH-E have also demonstrated that when executed rigorously the benefits of mergers are largely positive and can lead to improved learning outcomes.

Drawing an example from the project being implemented in Madhya Pradesh, the report stated that 35,000 schools were merged into 16,000 same-campus schools with an aim to improve the quality of education. The merged large schools had adequate teachers and resources and 55 percent of the schools now had a principal when compared to 20 percent before the merger. Similarly, in Jharkhand 4380 schools and in Odisha 2000 small-scale and same-campus schools were merged.

In order to address the issue of the unequal distribution and shortage of teachers in the education sector, the report suggested the need to take up teacher rationalisation and structured policies to be implemented. Aligning with the National Education Policy 2020, NITI Aayog also emphasised the need to priortise Early Childhood Education (ECE) to improve the school readiness of the students.

States have been asked to reconsider the decentralisation of powers to principals, district and block officers by the policy think tank. This step according to the report will give them more financial power and autonomy to take decisions in line with local needs.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
Study Abroad: How to prepare for GMAT,"We're now on WhatsApp. Click to join.

In an exclusive interview, Sandeep Gupta, Founder of Top One Percent, a global EdTech company that provides effective learning solutions to GMAT & GRE aspirants, talks about the basics of GMAT preparation and how to achieve a 99th percentile score.

How to start the GMAT journey? Is downloading GMATPrep practice tests released by makers of the GMAT the first step?

The ideal way to start your GMAT journey is by starting as soon as possible. Even if you're still in college, taking the GMAT can open a plethora of opportunities for you, from job placements to deferred MBA programs. Many test-takers often begin by downloading the GMATPrep practice tests released by the GMAC, the makers of the GMAT.

While these materials provide a basic understanding of the test format, they may not be sufficient for those aiming for scores above 750. In fact, relying solely on these resources can give students a false sense of security. Instead, consider investing in a professional test preparation service.

Are practice tests the best indicator of how far/near one is from the target?

Practice tests are undoubtedly a valuable tool in your GMAT preparation arsenal, but they shouldn't be viewed as the “best” indicator of your likely score on the actual examination.

It is important to note that test-takers frequently report that the scores from official mock tests are somewhat inflated compared to what one might achieve on the actual GMAT. While this can be encouraging, it can also lull test-takers into a false sense of confidence.

One should use practice tests as a means to evaluate and improve their skill set but remember that continuous refinement and focused preparation are key to achieving the target GMAT score.

Should one first find out what GMAT score one actually needs for the university/course of choice? One needs at least 700 for Top 10 schools, 680 for Top 20, and 650 for Top 50 to pass. Is that a good route for a novice to start?

As a rule of thumb, strive to score 30 to 40 points above the median score of your target school. Doing so not only strengthens your chances of gaining admission but can also significantly improve your eligibility for scholarships. Considering the high tuition fees associated with MBA programs, securing a scholarship can provide substantial financial relief.

Also Read: All you need to know about Germany’s WISE, an exclusive programme for Indian students

How should one design the study plan - build a toolkit?

I believe those who attempt to create their own study plans without expert guidance often find themselves lost and directionless. That's why my first piece of advice is to consult with a professional test preparation agency.

However, expert guidance alone won't suffice; self-awareness is equally crucial. You need to know your strengths and weaknesses to target your study efforts effectively. One invaluable tool in this regard is maintaining an error log.

Document every question you get wrong, along with the reason for the mistake. Revisit this error log at least once a week to review your weak areas and revise your strategies.

Online versus offline study plan? Which one is better?

Choosing between online and offline GMAT study plans depends on individual needs. Online plans offer flexibility and a wealth of resources, often adapting to your performance. Offline plans provide structured learning and immediate feedback from instructors. Many find a hybrid approach most effective, leveraging online resources for flexibility and offline methods for structured learning.

How early should one start? On average, it is said, 3 months (10-15 hours a week) is good enough. Is it?

Although a study period of three months, averaging around three hours per day, is commonly recommended for achieving a competitive score, in my opinion, the earlier you start your GMAT journey, the better. Initiating the process while still in college can open myriad opportunities.

What are the typical GMAT prep mistakes and pitfalls?

One of the most frequent issues is inconsistency in preparation. Irregular study patterns can seriously hinder progress. Another pitfall is relying on easier prep materials, which can provide a false sense of confidence.

Not timing oneself during practice and neglecting certain sections, such as Reading Comprehension, can also be detrimental. Some test-takers overestimate their Quantitative skills and neglect focused practice, which can result in a disappointing performance and lower the overall score.

Also Read: Vocabulary Made Easy series: Guide to glide through strengthening your word power

How does one achieve the 99th percentile? Is it as elusive as numbers convey?

About 0.02% of GMAT test-takers, or about 30 people a year, will score a perfect 800 on the test. Achieving a 99th percentile score on the GMAT is challenging but not insurmountable.

In my 27 years of teaching, many of my students have successfully reached this milestone. The recipe for a top score includes studying high-quality material, benefiting from expert guidance, maintaining consistency, keeping an error log, and practicing under timed conditions.

Is there a time-tested mantra to get a good GMAT score?

If there's a time-tested mantra for achieving a strong GMAT score, it's not to neglect the Quantitative and Reading Comprehension sections. Often, people with engineering backgrounds assume they'll naturally excel in Quantitative, only to find themselves falling short.

Also Read: Logical Reasoning series: Tips to crack and ace exams

Similarly, Reading Comprehension is frequently overlooked, despite being a cornerstone for a great GMAT score. A poor performance in this section can easily lower your overall score by 80-90 points.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",Education
