Title,Text,Section
"Happy Thanksgiving 2023: Best wishes, images, messages, WhatsApp status and quotes to share on with your loved ones","We're now on WhatsApp. Click to join. Happy Thanksgiving 2023 to you and your loved ones. (HT Photo)

Thanksgiving 2023 Wishes, Images, Messages, Whatsapp Status and Quotes:

On this Thanksgiving, let us gather and express gratitude towards the positive aspects of life. Happy Thanksgiving to you and your loved ones.

Thanksgiving falls annually on the fourth Thursday of November. (HT Photo)

Extending good health, good times, and a good life. Happy Turkey Day to you and your family!

No one in this world can replace you, my dear. You are the light and happiness in my life. Happy Thanksgiving to you.

This year, it will be celebrated on November 23, Thursday. (HT Photo)

I'm grateful for good health, my lungs for keeping me breathing, my heart for tirelessly beating, and my body - the vessel that allows me to get through life. Happy Thanksgiving.

Let us all enjoy the delicious turkey, pumpkin pie, cranberry sauce, and other delicacies on this beautiful day. Greetings of the Day, my dear. Happy Thanksgiving.

Thanksgiving traditions are all about getting together with friends and family to enjoy a time of merriment. (HT Photo)

On this Thanksgiving, I feel thankful for the person you are and everything you do for me. I can't wait to sit down to a delicious meal together! Happy Thanksgiving.

I am thankful for many things in this life. But you, my dear, are the best one among them. Happy Thanksgiving.

While some people visit families during Thanksgiving holidays, others gather with their friends for a special 'Friendsgiving' celebration. (HT Photo)

Grateful to have all you turkeys back home - now, let's gather 'round and enjoy a wonderful roosting together. Happy Thanksgiving!

I love Thanksgiving because it brings loved ones together. I feel happy to be able to spend the day with you. Happy Thanksgiving.

While President George Washington designated November 26 as a day of National Thanksgiving in 1789, its history can be traced back to 1565. (HT Photo)

May the pie be sweet, but the moments with each of you be even sweeter. Grateful for every one of you. Happy Turkey Day!

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
Can over-exercising lead to heart attacks? Key tips to keep your heart safe,"We're now on WhatsApp. Click to join.

He cautioned, ""Primary concerns with overexercising is the strain it places on the heart. During strenuous physical activity, the heart pumps more blood to supply oxygen and nutrients to the muscles. This is a normal response to exercise, and it helps improve the heart's efficiency. However, when exercise is taken to the extreme, the heart can become overworked and fatigued, increasing the risk of adverse cardiac events. One common condition associated with overexercising is known as ""athlete's heart"" or ""exercise-induced cardiac remodeling."" In individuals who consistently push their bodies to the limits, the heart undergoes structural changes to accommodate the increased demand for blood flow. While these adaptations are generally benign in well-trained athletes, they can be problematic for those who over exercise without proper guidance or recovery.""

Dr Abhijit Borse pointed out the potential risks of overexercising as -

Increased Heart Rate: Over-exercising can lead to a persistent elevated heart rate, which, over time, may weaken the heart muscle and reduce its ability to pump effectively.

Over-exercising can lead to a persistent elevated heart rate, which, over time, may weaken the heart muscle and reduce its ability to pump effectively. Irregular Heart Rhythms: Intense exercise without adequate recovery can trigger abnormal heart rhythms, such as arrhythmia (atrial fibrillation), which can increase the risk of blood clots and stroke.

Intense exercise without adequate recovery can trigger abnormal heart rhythms, such as arrhythmia (atrial fibrillation), which can increase the risk of blood clots and stroke. Heart Disease: Excessive exercise can contribute to the development of heart disease, especially in individuals with preexisting risk factors.

Excessive exercise can contribute to the development of heart disease, especially in individuals with preexisting risk factors. Weakened Immune System: Overtraining can weaken the immune system, making individuals more susceptible to infections, which can indirectly impact heart health.

According to him, the key is finding a balance that suits your individual fitness level and goals and doing it in moderation. Dr Abhijit Borse suggested a few key tips to keep your heart safe -

Listen to Your Body: Pay attention to signs of fatigue, pain or excessive soreness. These are indications that your body needs rest.

Pay attention to signs of fatigue, pain or excessive soreness. These are indications that your body needs rest. Vary Your Exercise Routine: Incorporate a mix of cardio, strength and flexibility training to prevent overuse injuries and reduce the risk of overexercising.

Incorporate a mix of cardio, strength and flexibility training to prevent overuse injuries and reduce the risk of overexercising. Allow for Rest Days: Schedule regular rest days into your fitness routine to give your body time to recover and repair.

Schedule regular rest days into your fitness routine to give your body time to recover and repair. Consult a Professional: Consider working with a certified trainer or doctor who can help you create a balanced exercise plan tailored to your needs.

Remember that a healthy heart is not just about the quantity of exercise but also the quality and consistency of your fitness routine.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
Habits that we think are kind but are actually people-pleasing,"We're now on WhatsApp. Click to join.

Here are a few habits that we think are kind but are actually signs of people-pleasing:

ALSO READ: How people pleasing can serve as a defense mechanism

We're now on WhatsApp. Click to join

Agreeing to plans that we don’t want to be a part of: We have a difficult time saying no to people. Hence, we get onboard with ideas and plans that deep down we do not want to be a part of.

Avoid setting boundaries: This is one of the most harmful things that we end up doing in people-pleasing. Be it in our personal lives or our professional space, setting boundaries is extremely important.

Ignoring our own needs: We prioritise others so much that we end up pushing our own needs down the priority list. This makes us feel frustrated and resentful.

Pretending to agree with others: We try to avoid conflict or disagreement at any cost – hence, we end up pretending to agree with others.

Apologise excessively: We are constantly in fear that people will dislike us. Hence, we end up apologising for mistakes that we have not made.

SHARE THIS ARTICLE ON

ABOUT THE AUTHOR Tapatrisha Das Tapatrisha is Content Producer with Hindustan Times. She covers stories related to health, relationships, and fashion. ...view detail

Click to Top

Story Saved",LifeStyle
Why did the Pilgrims celebrate the first Thanksgiving? Know the complete story,"We're now on WhatsApp. Click to join.

European settlers, carrying diseases that devastated indigenous populations, made it easier for colonisers to seize lands while instances of warfare, massacres and forced displacement further tainted the relations between settlers and Native Americans. Hence, the Thanksgiving feast, although a diplomatic interaction, is still controversial as some do not consider it as a tradition of warmth and harmony but rather an alliance prompted by mutual defense concerns while the holiday remains contentious due to its historical inaccuracies, cultural appropriation and painful associations for indigenous communities.

The conventional story of Thanksgiving, often taught in schools, has it that the Wampanoag, particularly Squanto who had learned English after being captured and taken to Europe, played a crucial role in helping the Pilgrims adapt to their new environment by returning to his homeland and serving as an interpreter and guide for the settlers. He taught the Pilgrims essential skills, such as planting corn, using fish as fertiliser and hunting leading to a successful harvest for the Pilgrims in the fall of 1621.

To celebrate their newfound prosperity and express gratitude for the help received from the Wampanoag, Pilgrims organised a three-day feast and this event is now commonly referred to as the first Thanksgiving where the celebration included feasting on deer, fowl and fish, as well as native fruits and vegetables since it was a communal event that brought together the Pilgrims and the Wampanoag, fostering goodwill and cooperation between the two groups.

The first Thanksgiving is often seen as a symbol of the spirit of gratitude and cooperation between different cultural groups but while it wasn't an annual tradition at that time, the idea of Thanksgiving as ‘a time to give thanks for a good harvest and the blessings of the past year’ eventually evolved into the American Thanksgiving holiday celebrated on the fourth Thursday of November. It wasn’t until 1863, during the American civil war, that President Abraham Lincoln declared a national Thanksgiving Day that was to be held each November and the holiday was annually proclaimed by every President thereafter.

However, after a joint resolution of Congress in 1941, President Franklin D Roosevelt issued a proclamation in 1942, designating the fourth Thursday in November (which is not always the last Thursday) as Thanksgiving Day. Today, Thanksgiving is celebrated to say thanks and recognise the sacrifices and blessings of the past year as with more urbanisation, Thanksgiving became a day for people to get together with their friends and family to celebrate the day with a scrumptious feast.

The holiday moved away from its cultural roots to allow immigrants of every background to participate in a common tradition.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
Thanksgiving 2023: 5 snacks and desserts a guest may bring to the dinner,,LifeStyle
Things to remember about your avoidant partner,,LifeStyle
Black Friday 2023: When is Black Friday? Know interesting facts about the shopping day,"The Black Friday shopping frenzy is about to begin as crowds will gather to their favourite stores and malls to get the best deals and discounts. Every year, a day after Thanksgiving in US, this annual shopping day is celebrated with much enthusiasm by people. While Black Friday is looked forward to people for not just retail therapy but to connect with friends and family. No wonder, there is a mix of excitement and chaos in the stores as bargain hunters try to make the most of the available deals. (Also read | Black Friday 2023: Fun ways to celebrate the day apart from shopping) Black Friday falls a day after the festival of Thanksgiving, the traditional US holiday where people gather to express gratitude over a delicious meal with traditional delicacies (Shutterstock)

When is Black Friday in 2023?

Black Friday falls a day after the festival of Thanksgiving, the traditional US holiday where people gather to express gratitude over a delicious meal with traditional delicacies like roast turkey apart from other dishes. Unlike earlier years, the advent of online shopping has also allowed people to shop from their comforts of home on Black Friday for a hassle-free shopping experience. This year Thanksgiving is being celebrated on November 23, 2023, while Black Friday falls on November 24, 2023.

The preparation for Christmas starts a month in advance with Black Friday as people inaugurate the shopping season availing massive discounts offered by retailers, both in physical stores and online.

Origin of Black Friday

The term Black Friday originated way back in the 1960s and early 1970s in Philadelphia when the festive vibe of Thanksgiving spilled over to the weekends with people shopping for Christmas and eating out with their family and friends which resulted in chaos on the streets making it difficult for policemen and bus drivers to handle the crowd, and cases of shoplifting and parking violations also happened. No wonder, they coined the term 'Black Friday' to describe their never-ending shifts.

While Black Friday was re-branded Big Friday for some time by department stores eager to make it sound positive, the retailers preferred the term Black Friday as the day when their ledgers were 'in the black' or in profit and 'not in the red' or in loss.",LifeStyle
Delhi to restrict entry of buses on these norms from other states if GRAP Stage IV invoked,"We're now on WhatsApp. Click to join.

""Entry of all buses, including All India Tourist buses/ Contract Carriage buses/ State Transport Buses or holding any other kind of permit into Delhi from other states except CNG / Electric or BSVI diesel buses will be restricted as and when GRAP IV invokes.

""The above mentioned restrictions shall stand automatically applicable, as and when GRAP - IV is invoked from the date of issuance of this order in Delhi Gazette, and if the GRAP IV is revoked the said restrictions stand terminated automatically, no separate order will be issued,"" an official gazette notification said.

Last month, the Delhi government directed that all buses entering the national capital from Haryana will have to be run on electricity, CNG or BS-VI diesel.

Buses entering from the NCR regions of Uttar Pradesh and Rajasthan also need to follow these norms.

The city government's transport department said all buses entering Delhi from any city or town in Haryana, Rajasthan and Uttar Pradesh from July 1 will only be those that run on electricity, CNG and BS-VI diesel.

The Commission for Air Quality Management (CAQM) in National Capital Region and Adjoining Area, a statutory body responsible for formulating strategies to combat pollution in the region, had on November 18 asked Delhi and NCR states to revoke all emergency measures, under which only CNG, electric and BS VI-compliant vehicles from other states are allowed to enter Delhi, with exemptions granted to those involved in essential services.

The air quality across the city worsened on Wednesday morning and was recorded in the very poor category.

The city's Air Quality Index stood at 394 at 9.05 am on Wednesday, up from 365 on Tuesday.

The GRAP for the NCR has been classified under four different stages of adverse air quality in Delhi viz. Stage – I 'poor' (AQI 201 – 300), Stage – II 'very poor (AQI 301-400), Stage – III 'severe' (AQI 401-450) and Stage – IV 'severe ' (AQI >450), respectively.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
7 foods to boost your pet's immunity in pollution season,"We're now on WhatsApp. Click to join.

Here are 7 nutrient-rich meals known for their antioxidant, vitamin-rich, and anti-inflammatory properties that you must offer to your pets in this pollution season.

1. Salmon

Rich in omega-3 fatty acids, salmon serves as a nutritional powerhouse for your pet. Beyond offering support to the immune system, these essential fatty acids boast anti-inflammatory properties, making them particularly advantageous amid pollution seasons. The omega-3s in salmon contribute not only to immune resilience but also to your pet's overall health, ensuring a shiny coat and optimal cardiovascular function.

2. Blueberries

Nature's tiny superfood, blueberries, pack a punch in promoting your pet's immune health. Bursting with antioxidants, they play a pivotal role in mitigating oxidative stress—a crucial factor in immune support, especially when faced with environmental pollutants. The added benefits of vitamins C and K in blueberries contribute to your pet's overall well-being, making them a delightful and nutritious addition to their diet.

3. Pumpkin

Beyond its seasonal charm, pumpkin is a treasure trove of benefits for your pet's health. Abundant in fibre and beta-carotene, pumpkin not only aids in digestion but also provides essential nutrients. The conversion of beta-carotene into vitamin A is particularly noteworthy, as this vitamin is instrumental in fortifying your pet's immune system, ensuring their defence against potential health challenges.

4. Sweet potatoes

A delectable source of beta-carotene, sweet potatoes are key contributors to a resilient immune system in your pet. Enriched with vitamins B6 and C, these tubers offer a holistic approach to immune support. Additionally, the inclusion of fibre ensures digestive health, while the nutritional profile of sweet potatoes fosters overall vitality in your pet.

5. Broccoli

The nutritional prowess of broccoli extends far beyond its human appeal—it's equally beneficial for your pet. A nutrient-rich cruciferous vegetable, broccoli supplies vitamins A, C, and K, constituting a robust defense against environmental stressors. The antioxidants and fiber content further solidify its role in promoting overall health and aiding your pet's immune system.

6. Turmeric

Revered for its anti-inflammatory properties, turmeric is a golden addition to your pet's diet. Beyond adding flavour, the active compound curcumin in turmeric contributes to reducing inflammation, thereby supporting your pet's immune system. However, it's crucial to consult with your veterinarian to determine the proper dosage for your pet's specific needs.

7. Probiotic-rich yoghurt

Beyond being a tasty treat, yoghurt rich in probiotics serves as a guardian for your pet's immune health. The promotion of a healthy balance of gut bacteria is vital, as a robust gut microbiome is directly linked to improved immunity. Amid environmental stressors, incorporating probiotic-rich yogurt can empower your pet's digestive system, ensuring they are better equipped to face potential health challenges.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
Meghalaya plans small museum at old Assembly building for heritage tourism,"We're now on WhatsApp. Click to join.

Shillong, which was the capital of undivided Assam, is nicknamed the 'Scotland of the East' and is known for its historical importance and pristine natural beauty

The three-day Mart seeks to focus on the tourism potential of the northeast, particularly Meghalaya which is the host state.

""I think a generic policy to ensure that these kinds of heritage sites are promoted from a tourist aspect, is definitely part of the overall strategy,"" he said.

""What is important is that we are bringing in different stakeholders together and really trying to discuss and connect different dots together out here. So, that is the purpose of today's programme,"" he said.

""The Legislative Assembly building site (in Shillong)... you are aware that the Assembly (building) got burnt almost about 20 years back. And therefore not much left of it. But we have not touched it, and left it as it is because we had to do some of the assembly work there,"" he said during a press interaction.

""But as soon as we shift to the new assembly site whose construction is going on... By September 2024, we expect to inaugurate it,"" he said.

Sangma said the old building, a British-era structure, was used in undivided Assam and has a lot of history, he added.

""Definitely we have a plan along with the Speaker to have a small museum or some kind of a site there where we could have some section of the area – maybe not the whole area,"" Sangma said.

Raj Bhavan building and Rabindranath Tagore’s house also have heritage value, the chief minister said, adding that there are many such sites.

Asked about the state's strategy to balance tourism-related development and environment protection, he said the state has been focussing on sustainable tourism and ecotourism.

The government is also ensuring that it creates policies that do not put enormous pressure on certain tourist sites, Sangma said.

SHARE THIS ARTICLE ON

Click to Top

Story Saved",LifeStyle
